step ,Contenu,Type de champ,Placeholder
,Nombre de voies impactées,"Imput text avec placeholder ""Préciser le nombre de voies impactées""",
,Sens de circulation,"Imput text avec placeholder ""Préciser le sens de circulation""",
,Ligne de séparation,Divider,
,← Précédent ,Bouton qui amène à l'étape précédente,
,Suivant →,Bouton qui amène à l'étape suivante,
,,,
,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,Risque de propagation,titre,
,Bouton,Oui,
,Bouton,Non,
,Préciser le risque de propagation ,"Imput text avec placeholder qui se révèle si ""oui"" à propagation à été choisi.",Préciser à quoi peut se propager le feu
,Isolé,Titre,
,Bouton,Oui,
,Bouton,Non,
,Préciser l’environnement ,"Imput text avec placeholder qui se révèle si ""oui"" à Isolé à été choisi.",Préciser à quoi peut se propager le feu
,Présence d'un risque spécifique,"Select(Hydrocarbure, acétylène, engrais, gaz)",
,Évolution du feu,Select(1-En développement / 2-Stabilisé / 3-En régression / 4-Circonscrit / 5-Maîtrisé / 6-Foyer principal éteint / 7-Feu éteint),
,Divider,Ligne de séparation,
,Étape précédente,Bouton,
,Étape suivante,Bouton,
,,,
"step 3 ""je vois"" - Feu de véhicule : ",Type de véhicule ,"Select(


VEHICULE LEGER 
VEHICULE DEUX ROUES
VEHICULE POIDS LOURD 
VEHICULE POIDS LOURD TMD
VEHICULE AGRICOLE
————————
AVION DE LIGNE - MILITAIRE
AVION DE TOURISME 
BATEAU
BUS
HÉLICOPTÈRE
METRO
PÉNICHE
TRAMWAY
TRAIN
ULM)",
,Énergie,"Select(
Essence
Gazoil
Électrique
Hybride
GPL
Inconnue)",
,Risque de propagation,titre,
,Bouton,Oui,
,Bouton,Non,
,Préciser le risque de propagation ,"Imput text avec placeholder qui se révèle si ""oui"" à propagation à été choisi.",
,Véhicule Isolé,Titre,
,Bouton,Oui,
,Bouton,Non,
,Préciser l’environnement ,"Imput text avec placeholder qui se révèle si ""oui"" à Isolé à été choisi.",
,Présence d'un risque spécifique,"Select(Hydrocarbure, acétylène, engrais, gaz)",
,Évolution du feu,Select(1-En développement / 2-Stabilisé / 3-En régression / 4-Circonscrit / 5-Maîtrisé / 6-Foyer principal éteint / 7-Feu éteint),
,,,
,,,
Autre type d’intervention ,Chute de ligne électrique,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
,Localisation de la chute :,Imput text avec placeholder ,Localisation de la chute
,Type de ligne,Titre ,
,BT ,Bouton,
,"Rappel des périmètres : zone exclusion = 1m, zone contrôlée = 20m.",Titre à afficher si le bouton BT est selectionné,
,HTA,,
,"Rappel des périmètres : zone exclusion = 10m, zone contrôlée = 50m.",Titre à afficher si le bouton HTA est selectionné,
,HTB,,
,"Rappel des périmètres : zone exclusion = 10m, zone contrôlée = 50m.",Titre à afficher si le bouton HTB est selectionné,
,,,
Autre type d’intervention ,Fuite de gaz procédure classique,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
Champs Feu de bâtiment : ,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,"Demande de PGR possible à la demande du COS si : - fuite sur voie publique avec échappement à l’air libre (fuite ouverte) - fuite à l’intérieur d’un bâtiment. Rappel des périmètres : zone exclusion = 50m, zone contrôlée = 100m.","Titre à afficher si ""Fuite de gaz procédure renforcée"" ou ""Fuite de gaz procédure classique)  est selctionnée dans le Select""Autre type d’intervention """,
,,,
Autre type d’intervention ,Fuite de gaz procédure renforcée,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
Champs Feu de bâtiment : ,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,"Demande de PGR possible à la demande du COS si : - fuite sur voie publique avec échappement à l’air libre (fuite ouverte) - fuite à l’intérieur d’un bâtiment. Rappel des périmètres : zone exclusion = 50m, zone contrôlée = 100m.","Titre à afficher si ""Fuite de gaz procédure renforcée"" ou ""Fuite de gaz procédure classique)  est selctionnée dans le Select""Autre type d’intervention """,
,,,
Autre type d’intervention ,Odeur de brulé,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
Champs Feu de bâtiment : ,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,Présence d'un risque spécifique,"Select(Hydrocarbure, acétylène, engrais, gaz)",
,,,
Autre type d’intervention ,Fumée suspecte,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
Champs Feu de bâtiment : ,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,Présence d'un risque spécifique,"Select(Hydrocarbure, acétylène, engrais, gaz)",
,,,
Autre type d’intervention ,Autre type de feu,"Titre affiché si à été choisi dans Select""Autre type d’intervention""",
Champs Feu de bâtiment : ,Type de bâtiment,titre,
,De plain pied,Bouton,
,Bâtiment R+,"Bouton qui affiche les champs ""Nombre d'étages r+ :"" et ""Nombre d'étages r- :""",
,Nombre d'étages R+,Select(Liste de numéros de 0 à 12),
,Nombre d'étages R-,Select(Liste de numéros de -1 à -12),
,Bâtiment à usage de :,"Select(- Habitation (maison, villa, appartement) - usage commercial (magasin, centre commercial) - usage tertiaire (bureaux) - usage industriel (usine, entrepôt, site seveso) - ERP (école, hôpital, clinique, hôtel, EPHAD, Complexe sportif, salle de spectacle) - Agricole",
,Type de bâtiment,Select(Appartement / Maison / Entrepôt / Agricole / Tertiaire / ERP),
,Structure,Select(Métallique / Traditionnelle / Béton / Bois / Mixte),
,Surface totale estimée m²,"Imput text avec placeholder ""Surface totale estimée en m²""",
,Surface sinistrée estimée m²,"Imput text avec placeholder ""Surface sinistrée estimée en m²""",
,Présence d'un risque spécifique,"Select(Hydrocarbure, acétylène, engrais, gaz)",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Étape 3 : Victimes,Victimes,Bouton plus ou moins de chaque coté ,
,Indemnes,Bouton plus ou moins de chaque coté ,
,UA,Bouton plus ou moins de chaque coté ,
,UR,Bouton plus ou moins de chaque coté ,
,DCD,Bouton plus ou moins de chaque coté ,
,Impliqués,Bouton plus ou moins de chaque coté ,
,Étape précédente,Bouton,
,Étape suivante,Bouton,
,,,
Étape 4 : JE FAIS,,,
,"Nombre et type de lances, type d’alimentation",Imput text,
,Sauvetage des victimes,Case à cocher,
,Mise en sécurité des victimes,Case à cocher,
,Extinction,Case à cocher,
,Évacuation des victimes,Case à cocher,
,Coupures GAZ,Case à cocher,
,Coupures Electricité,Case à cocher,
,Périmètre de sécurité,Case à cocher,
,Balisage,Case à cocher,
,Désenfumage,Case à cocher,
,Ventilation,Case à cocher,
,Déblai,Case à cocher,
,Mesures Explosimètre,Case à cocher,
,Relevés thermiques,Case à cocher,
,Je poursuis reconnaissance,Case à cocher,
,Nombre de LDV,Selectde 1 à 6,
,Débit,"Select(150L/min, 250L/min, 500L/min, 1000L/min)",
,Relevés caméra thermique,Imput text,
,Relevés Explosimètre,Imput text,
,,,
,Étape précédente,Bouton,
,Étape suivante,Bouton,
,,,
Étape 5 : JE DEMANDE / CONFIRME,FPT,Case à cocher,
,EPA,Case à cocher,
,VSAV,Case à cocher,
,Forces de l'ordre,Case à cocher,
,ENEDIS,Case à cocher,
,GRDF,Case à cocher,
,SMUR,Case à cocher,
,Élus,Case à cocher,
,Difficultés rencontrées,Imput text,
,Solution proposée,Imput text,
,,,
,Étape précédente,Bouton,
,Générer le message,Bouton,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Nature de l'intervention,Select(Feu de bâtiment / Feu de VL / Fuite de GAZ / Fumée suspecte / Déclenchement alarme),
